customer_segment,txn_count,total_spend,avg_amount,max_amount,spend_per_txn_ratio,max_to_avg_ratio,amount_range,txn_intensity,segment_name
0,289.8373168851195,825240.0976021589,2848.382651741106,13407.441025443331,2848.382651741106,4.711375274800117,10559.058373702224,825240.0976021589,Regular Customers
1,288.10338541666664,817392.1986953125,2839.039899206638,14629.043138020834,2839.039899206638,5.158053639828867,11790.003238814195,817392.1986953125,Low Activity Customers
2,301.6909137975667,914487.0762153767,3033.6970848312003,14624.908415739063,3033.6970848312003,4.825658584955682,11591.211330907863,914487.0762153767,High Value Customers
