customer_segment,customer_count,txn_count_mean,total_spend_mean,avg_amount_mean,max_amount_mean,spend_per_txn_ratio_mean,txn_intensity_mean,segment_name
1,7680,288.10338541666664,817392.1986953125,2839.039899206638,14629.043138020834,2839.039899206638,817392.1986953125,Low Activity Customers
0,2594,289.8373168851195,825240.0976021589,2848.382651741106,13407.441025443331,2848.382651741106,825240.0976021589,Regular Customers
2,7726,301.6909137975667,914487.0762153767,3033.6970848312003,14624.908415739063,3033.6970848312003,914487.0762153767,High Value Customers
